BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
204000;3359;7;z;;productions;p r @ d V k S @ n z;;;;;;;
207360;2399;8;@;;of;Q v;;;;;;;
209760;1439;8;v;;of;Q v;;;;;;;
211200;2879;9;D;;the;D @;;;;;;;
214080;5759;9;@;;the;D @;;;;;;;
219840;1439;10;f;;Philip;f I l I p;;;;;;;
221280;1919;10;I;;Philip;f I l I p;;;;;;;
223200;7679;10;l;;Philip;f I l I p;;;;;;;
230880;2399;10;I;;Philip;f I l I p;;;;;;;
233280;1439;10;p;;Philip;f I l I p;;;;;;;
234720;1919;11;r;;Ridley;r I d l I;;;;;;;
236640;5279;11;I;;Ridley;r I d l I;;;;;;;
241920;1439;11;d;;Ridley;r I d l I;;;;;;;
243360;3359;11;l;;Ridley;r I d l I;;;;;;;
246720;6239;11;I;;Ridley;r I d l I;;;;;;;
252960;2879;12;p;;play;p l eI;;;;;;;
255840;1439;12;l;;play;p l eI;;;;;;;
257280;4799;12;eI;;play;p l eI;;;;;;;
262080;5279;13;m;;Mercury;m 3: k j U r I;;;;;;;
267360;6719;13;3:;;Mercury;m 3: k j U r I;;;;;;;
274080;1439;13;k;;Mercury;m 3: k j U r I;;;;;;;
275520;3359;13;j;;Mercury;m 3: k j U r I;;;;;;;
278880;1439;13;U;;Mercury;m 3: k j U r I;;;;;;;
280320;3359;13;r;;Mercury;m 3: k j U r I;;;;;;;
283680;8159;13;I;;Mercury;m 3: k j U r I;;;;;;;
291840;1439;14;f;;Fur;f 3:;;;;;;;
293280;16799;14;3:;;Fur;f 3:;;;;;;;
310080;6239;-1;<p:>;;;;;;;;;;
316320;2879;15;w;;which;w I tS;;;;;;;
319200;4319;15;I;;which;w I tS;;;;;;;
323520;3839;15;tS;;which;w I tS;;;;;;;
327360;3359;16;w;;was;w Q z;;;;;;;
330720;1439;16;@;;was;w Q z;;;;;;;
332160;3839;16;z;;was;w Q z;;;;;;;
336000;2399;-1;<p:>;;;;;;;;;;
338400;1439;17;p;;performed;p @ f O: m d;;;;;;;
339840;4799;17;@;;performed;p @ f O: m d;;;;;;;
344640;1439;17;f;;performed;p @ f O: m d;;;;;;;
346080;8639;17;O:;;performed;p @ f O: m d;;;;;;;
354720;4799;17;m;;performed;p @ f O: m d;;;;;;;
359520;1919;17;d;;performed;p @ f O: m d;;;;;;;
361440;4319;18;@;;at;{ t;;;;;;;
365760;1439;18;t;;at;{ t;;;;;;;
367200;1919;19;D;;the;D @;;;;;;;
369120;3359;19;I;;the;D @;;;;;;;
372480;2879;20;d;;Drum;d r V m;;;;;;;
375360;1919;20;r;;Drum;d r V m;;;;;;;
377280;5279;20;V;;Drum;d r V m;;;;;;;
382560;1919;20;m;;Drum;d r V m;;;;;;;
384480;2879;21;T;;Theatre;T I@ t @;;;;;;;
387360;9119;21;I@;;Theatre;T I@ t @;;;;;;;
396480;1439;21;t;;Theatre;T I@ t @;;;;;;;
397920;2879;21;@;;Theatre;T I@ t @;;;;;;;
400800;3359;22;I;;in;I n;;;;;;;
404160;6239;22;n;;in;I n;;;;;;;
410400;1439;23;p;;Plymouth;p l I m @ T;;;;;;;
411840;3839;23;l;;Plymouth;p l I m @ T;;;;;;;
415680;2399;23;I;;Plymouth;p l I m @ T;;;;;;;
418080;4319;23;m;;Plymouth;p l I m @ T;;;;;;;
422400;3839;23;@;;Plymouth;p l I m @ T;;;;;;;
426240;1919;23;T;;Plymouth;p l I m @ T;;;;;;;
428160;1439;24;@;;and;@ n d;;;;;;;
429600;3839;24;n;;and;@ n d;;;;;;;
433440;1439;25;D;;the;D @;;;;;;;
434880;1439;25;@;;the;D @;;;;;;;
436320;1439;26;m;;Menier;m e n j u: @;;;;;;;
437760;1439;26;e;;Menier;m e n j u: @;;;;;;;
439200;1439;26;n;;Menier;m e n j u: @;;;;;;;
440640;11999;26;j;;Menier;m e n j u: @;;;;;;;
452640;4799;26;u:;;Menier;m e n j u: @;;;;;;;
457440;1439;26;@;;Menier;m e n j u: @;;;;;;;
458880;2399;27;tS;;Chocolate;tS Q k l @ t;;;;;;;
461280;8639;27;Q;;Chocolate;tS Q k l @ t;;;;;;;
469920;1919;27;k;;Chocolate;tS Q k l @ t;;;;;;;
471840;3359;27;l;;Chocolate;tS Q k l @ t;;;;;;;
475200;3839;27;@;;Chocolate;tS Q k l @ t;;;;;;;
479040;1919;27;t;;Chocolate;tS Q k l @ t;;;;;;;
480960;2399;28;f;;Factory;f { k t @ r I;;;;;;;
483360;8159;28;{;;Factory;f { k t @ r I;;;;;;;
491520;1439;28;k;;Factory;f { k t @ r I;;;;;;;
492960;4319;28;t;;Factory;f { k t @ r I;;;;;;;
497280;1919;28;r;;Factory;f { k t @ r I;;;;;;;
499200;5279;28;I;;Factory;f { k t @ r I;;;;;;;
504480;2879;29;I;;in;I n;;;;;;;
507360;4799;29;n;;in;I n;;;;;;;
512160;2399;30;l;;London;l V n d @ n;;;;;;;
514560;4319;30;V;;London;l V n d @ n;;;;;;;
518880;2399;30;n;;London;l V n d @ n;;;;;;;
521280;1919;30;d;;London;l V n d @ n;;;;;;;
523200;3839;30;@;;London;l V n d @ n;;;;;;;
527040;32063;30;n;;London;l V n d @ n;;;;;;;
