BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
384960;1439;22;d;;starred;s t A: d;;;;;;;
386400;1919;23;@;;alongside;@ l Q N s aI d;;;;;;;
388320;3359;23;l;;alongside;@ l Q N s aI d;;;;;;;
391680;5759;23;Q;;alongside;@ l Q N s aI d;;;;;;;
397440;2399;23;N;;alongside;@ l Q N s aI d;;;;;;;
399840;5279;23;s;;alongside;@ l Q N s aI d;;;;;;;
405120;8639;23;aI;;alongside;@ l Q N s aI d;;;;;;;
413760;2879;23;d;;alongside;@ l Q N s aI d;;;;;;;
416640;7199;24;{;;actors;{ k t @ z;;;;;;;
423840;1439;24;k;;actors;{ k t @ z;;;;;;;
425280;2399;24;t;;actors;{ k t @ z;;;;;;;
427680;3839;24;@;;actors;{ k t @ z;;;;;;;
431520;4799;24;z;;actors;{ k t @ z;;;;;;;
436320;1439;25;m;;Mark;m A: k;;;;;;;
437760;8639;25;A:;;Mark;m A: k;;;;;;;
446400;1439;25;k;;Mark;m A: k;;;;;;;
447840;4799;26;s;;Strong;s t r Q N;;;;;;;
452640;3839;26;t;;Strong;s t r Q N;;;;;;;
456480;1439;26;r;;Strong;s t r Q N;;;;;;;
457920;5759;26;Q;;Strong;s t r Q N;;;;;;;
463680;4319;26;N;;Strong;s t r Q N;;;;;;;
468000;1439;27;{;;and;@ n d;;;;;;;
469440;4319;27;n;;and;@ n d;;;;;;;
473760;1919;28;d;;Derek;d e@ r @ k;;;;;;;
475680;4799;28;e@;;Derek;d e@ r @ k;;;;;;;
480480;3839;28;r;;Derek;d e@ r @ k;;;;;;;
484320;3359;28;@;;Derek;d e@ r @ k;;;;;;;
487680;2639;28;k;;Derek;d e@ r @ k;;;;;;;
490320;4559;29;dZ;;Jacobi;dZ eI k @U b I;;;;;;;
494880;3839;29;eI;;Jacobi;dZ eI k @U b I;;;;;;;
498720;4799;29;k;;Jacobi;dZ eI k @U b I;;;;;;;
503520;7679;29;@U;;Jacobi;dZ eI k @U b I;;;;;;;
511200;1919;29;b;;Jacobi;dZ eI k @U b I;;;;;;;
513120;13439;29;I;;Jacobi;dZ eI k @U b I;;;;;;;
526560;18207;-1;<p:>;;;;;;;;;;
