BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
240000;2399;13;@;;Simon;s aI m @ n;;;;;;;
242400;2399;13;n;;Simon;s aI m @ n;;;;;;;
244800;4799;14;s;;Stephens;s t e f e n z;;;;;;;
249600;4319;14;t;;Stephens;s t e f e n z;;;;;;;
253920;5279;14;e;;Stephens;s t e f e n z;;;;;;;
259200;1439;14;f;;Stephens;s t e f e n z;;;;;;;
260640;3839;14;e;;Stephens;s t e f e n z;;;;;;;
264480;4319;14;n;;Stephens;s t e f e n z;;;;;;;
268800;6719;14;z;;Stephens;s t e f e n z;;;;;;;
275520;10079;-1;<p:>;;;;;;;;;;
285600;3359;15;w;;which;w I tS;;;;;;;
288960;3839;15;I;;which;w I tS;;;;;;;
292800;4319;15;tS;;which;w I tS;;;;;;;
297120;2879;16;w;;was;w Q z;;;;;;;
300000;1439;16;@;;was;w Q z;;;;;;;
301440;4799;16;z;;was;w Q z;;;;;;;
306240;2399;17;p;;performed;p @ f O: m d;;;;;;;
308640;5759;17;@;;performed;p @ f O: m d;;;;;;;
314400;1439;17;f;;performed;p @ f O: m d;;;;;;;
315840;8639;17;O:;;performed;p @ f O: m d;;;;;;;
324480;3839;17;m;;performed;p @ f O: m d;;;;;;;
328320;2399;17;d;;performed;p @ f O: m d;;;;;;;
330720;1919;18;I;;in;I n;;;;;;;
332640;4799;18;n;;in;I n;;;;;;;
337440;2399;19;t;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
339840;4319;19;u:;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
344160;1439;19;T;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
345600;8639;19;aU;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
354240;4319;19;z;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
358560;4799;19;n;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
363360;1919;19;d;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
365280;5759;19;w;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
371040;1439;19;V;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
372480;2879;19;n;;two-thousand-one;t u: T aU z @ n d w V n;;;;;;;
375360;3839;20;@;;at;{ t;;;;;;;
379200;1439;20;t;;at;{ t;;;;;;;
380640;1919;21;D;;the;D @;;;;;;;
382560;3839;21;@;;the;D @;;;;;;;
386400;4319;22;r;;Royal;r OI @ l;;;;;;;
390720;7199;22;OI;;Royal;r OI @ l;;;;;;;
397920;1439;22;@;;Royal;r OI @ l;;;;;;;
399360;7199;22;l;;Royal;r OI @ l;;;;;;;
406560;3359;23;k;;Court;k O: t;;;;;;;
409920;9599;23;O:;;Court;k O: t;;;;;;;
419520;1439;23;t;;Court;k O: t;;;;;;;
420960;1439;24;T;;Theatre;T I@ t @;;;;;;;
422400;20159;24;I@;;Theatre;T I@ t @;;;;;;;
442560;2399;24;t;;Theatre;T I@ t @;;;;;;;
444960;1919;24;@;;Theatre;T I@ t @;;;;;;;
446880;16991;-1;<p:>;;;;;;;;;;
